#{"t_start": 1669489949.0932534, "env_id": null}
r,l,t
-0.747619,47,146.505386
-10.269048,50,146.869766
-9.495238,50,147.233525
-10.0,1,147.240817
-9.461905,50,147.605307
-10.711905,50,149.910093
-10.504762,50,150.269734
-10.985714,50,150.624706
-10.42619,50,150.984362
5.240476,41,151.275261
-9.783333,50,151.634699
-11.621429,13,151.726931
-9.438095,50,152.087232
29.352381,19,152.22273
16.895238,31,152.445449
-8.895238,50,152.805497
-11.02381,4,152.834126
-9.069048,50,153.195154
33.007143,16,153.308566
-10.302381,50,153.658193
-10.05,50,154.019625
-10.0,1,154.032615
-9.688095,50,154.393708
-11.083333,50,154.755168
-9.27381,50,155.112256
8.911905,38,155.385088
-10.992857,50,155.736826
-11.561905,50,156.092813
24.128571,24,156.272241
-10.395238,50,156.633003
30.697619,18,156.766263
-10.992857,50,157.110793
-10.133333,50,157.471242
-10.711905,4,157.499695
24.345238,23,157.6524
-10.447619,50,158.013161
30.87619,18,158.147121
48.902381,2,158.167046
-9.602381,50,158.528606
1.435714,45,158.855438
-10.947619,50,159.210582
-9.785714,50,159.571644
19.902381,28,159.771037
-10.057143,50,160.13631
-10.0,1,160.143307
-9.195238,50,160.504453
-11.12619,50,160.86603
-9.842857,50,161.226487
-10.614286,50,161.58483
42.004762,8,161.647446
36.797619,13,161.745589
-9.216667,50,162.105731
-9.290476,50,162.466343
-11.247619,4,162.477813
-11.05,50,162.83318
-11.128571,4,162.861716
16.404762,31,163.076372
-10.797619,4,163.105123
6.419048,38,163.375659
-10.0,1,163.382884
18.557143,30,163.601304
-11.878571,50,163.949394
-10.192857,50,164.310433
-10.0,1,164.317651
17.909524,30,166.42092
39.045238,11,166.504597
-10.240476,50,166.865085
-10.611905,4,166.89354
-9.957143,50,167.255073
-9.895238,50,167.615382
-10.27619,50,167.976151
45.45,5,168.016981
-10.366667,50,168.366093
-12.55,20,168.513697
-10.871429,50,168.874692
-11.471429,50,169.23136
19.671429,28,169.436634
-10.578571,50,169.798169
3.866667,43,170.109991
-9.833333,50,170.464834
-11.47381,5,170.500589
-11.947619,50,170.850499
29.814286,19,170.991637
42.304762,8,171.054044
-10.385714,50,171.414747
-13.828571,50,171.771557
30.542857,18,171.905529
-11.983333,6,171.953707
-10.395238,50,172.315186
16.07381,30,172.52942
7.095238,40,172.81941
-10.27381,50,173.181779
-9.421429,50,173.537671
-10.807143,50,173.900316
-9.592857,50,174.263219
13.664286,34,174.504967
-11.216667,50,174.862489
40.102381,10,174.939493
-10.17381,50,175.302227
-14.502381,23,175.466877
-10.388095,50,175.828269
18.252381,30,176.047795
-10.614286,50,176.398177
-9.885714,50,176.760354
-10.0,1,176.76749
-12.857143,50,177.12395
46.830952,4,177.157873
-10.690476,50,177.513868
-11.064286,5,177.549626
-10.22381,50,177.911859
-10.297619,50,178.274399
14.728571,32,178.508684
-9.680952,50,178.870224
-11.078571,50,179.228246
-10.214286,50,179.58964
-10.619048,50,179.944679
15.907143,32,180.177696
-10.833333,50,180.520868
-10.992857,50,180.88162
-11.669048,50,183.112438
-10.330952,2,183.126988
-3.583333,49,183.481131
-9.514286,50,183.841417
-10.304762,50,184.201749
43.614286,7,184.257015
-9.988095,50,184.616883
-10.0,1,184.624075
-12.335714,9,184.682763
-11.180952,50,185.044829
-10.790476,50,185.409075
-10.064286,50,185.77695
-10.0,1,185.778506
-10.630952,50,186.14566
5.195238,40,186.439643
35.559524,14,186.5466
0.742857,46,186.881862
-10.871429,50,187.239966
-11.466667,50,187.597808
